task,latency,resource,observation,reward,cost,workload,conf
8,10.239,29.0,3.92;0.29;0.69;1.5;0.54;1.02;1.09;1.34;0.02;4.93;8.52;2.22;7.09;16.27;6.49;1.04;15.07;1.03;29.0;10;10.239,3.1,0,10,4;1;2;2;90;300;2;1;2;2;1.1;100;3;2;2;1;3;2;1;3;32;2;1;2;1;288;96;2.1;1;1
9,7.259,42.0,1.84;0.44;0.58;0.71;0.43;0.67;0.48;0.83;0.02;5.02;7.44;2.01;11.97;9.64;6.36;2.08;9.66;1.66;42.0;10;7.259,1.0,0,10,4;2;3;3;100;200;3;2;3;3;1.1;90;2;1;2;2;3;3;1;4;160;1;1;2;1;288;96;1.6;1;1
10,7.659,37.0,3.37;0.3;0.28;2.1;0.36;0.46;0.95;0.83;0.02;7.54;7.14;1.25;6.63;9.78;4.75;1.39;18.63;1.42;37.0;10;7.659,4.0,0,10,3;1;3;2;90;300;4;2;2;3;1.3;100;3;1;2;2;4;3;1;3;288;2;1;1;2;320;96;1.6;1;1
11,12.167,39.0,3.24;0.22;0.44;2.57;0.26;0.49;0.71;0.76;0.02;8.05;7.1;1.02;7.03;13.38;3.95;1.39;18.9;1.55;39.0;10;12.167,0.5,0,10,2;1;3;3;100;400;3;3;2;2;1.3;90;3;2;1;1;4;2;1;2;160;2;1;1;3;320;128;1.6;1;2
12,7.627,38.0,2.18;0.28;0.72;1.17;0.69;0.64;0.43;0.82;0.02;9.7;7.05;1.08;9.38;14.96;3.46;1.88;14.31;1.43;38.0;10;7.627,1.7,0,10,2;2;3;2;90;500;2;2;2;1;1.1;80;4;1;2;1;3;3;1;3;32;1;1;2;3;288;96;2.1;1;2
13,8.175,52.0,0.76;0.21;0.51;2.75;0.23;0.26;0.5;0.69;0.01;9.65;6.19;1.2;4.28;10.09;5.56;2.66;7.96;1.42;52.0;10;8.175,0.5,0,10,2;2;4;3;80;500;1;3;3;0;0.9;70;4;1;2;1;4;3;1;4;160;1;1;2;3;256;128;1.6;1;2
14,7.047,56.0,1.42;0.17;0.62;2.14;0.34;0.46;0.63;0.82;0.02;10.14;4.44;0.9;5.13;7.01;5.57;3.27;9.45;1.06;56.0;10;7.047,1.0,0,10,2;2;4;3;90;400;2;4;2;-1;0.7;70;4;2;2;2;3;3;2;4;160;1;1;2;3;256;96;1.1;2;2
15,69.695,39.0,1.73;0.19;0.61;0.72;0.37;0.48;0.96;0.81;0.02;8.05;4.67;0.76;8.57;9.68;6.51;2.85;9.44;1.09;39.0;10;69.695,10.5,0,10,3;2;3;2;100;500;2;4;1;-2;0.5;80;3;1;2;2;2;3;2;3;32;2;1;2;3;256;64;1.1;1;2
16,66.815,31.0,2.88;0.38;0.96;2.58;0.52;0.69;0.6;1.03;0.02;6.51;6.14;0.81;6.34;8.67;13.43;1.44;14.68;1.38;31.0;10;66.815,6.6,0,10,4;1;4;2;90;500;2;3;1;-2;0.7;80;4;1;3;1;1;2;3;4;160;3;1;1;3;256;64;1.1;1;1
17,7.771,35.0,4.21;0.27;0.77;0.98;0.89;1.03;1.0;1.09;0.02;4.85;5.3;1.1;7.86;3.72;20.65;1.33;19.12;1.08;35.0;10;7.771,1.0,0,10,4;1;4;3;80;600;3;2;2;-1;0.5;80;4;1;2;1;1;1;2;5;288;3;1;1;3;256;64;1.1;2;1
18,7.623,47.0,2.08;0.25;0.46;2.37;0.6;1.06;1.02;0.77;0.02;4.82;4.45;1.4;5.36;9.93;14.94;1.35;15.85;0.62;47.0;10;7.623,1.0,0,10,4;2;4;3;90;700;4;2;3;-2;0.5;90;4;2;2;1;2;1;3;5;416;3;1;1;3;256;96;1.1;3;1
19,7.391,43.0,2.37;0.3;0.58;1.92;0.72;1.04;1.04;0.75;0.05;3.44;5.27;2.16;5.39;8.64;9.9;1.23;18.13;0.5;43.0;10;7.391,3.8,0,10,4;1;4;2;80;600;5;1;3;-2;0.5;100;4;3;3;1;2;2;2;6;288;4;1;1;3;256;128;1.1;2;1
20,7.211,42.0,3.17;0.58;0.56;0.67;0.7;0.75;0.66;0.71;0.02;2.63;3.72;2.24;7.55;8.14;7.97;0.88;18.79;0.58;42.0;10;7.211,1.7,0,10,4;1;4;1;80;500;6;2;2;-2;0.5;100;4;3;2;1;3;2;1;5;416;4;1;1;3;288;96;1.6;3;1
